[1 0 0 1 0],-0.002318606
[1 1 1 1 1],9.063860759
[0 1 1 1 1],4.027572735
[1 0 0 0 0],1.006166776
[0 1 0 0 0],1.006892555
[1 1 0 0 0],-0.001431338
[0 0 1 0 0],1.006375329
[1 0 1 0 0],-0.001959518
[0 1 1 0 0],-0.001246674
[1 1 1 0 0],1.005313688
[0 0 0 1 0],1.005989782
[0 1 0 1 0],-0.001597029
[1 1 0 1 0],1.004989792
[0 0 1 1 0],-0.002114287
[1 0 1 1 0],1.00446158
[0 1 1 1 0],1.005170222
[1 1 1 1 0],4.026641298
[0 0 0 0 1],1.007289938
[1 0 0 0 1],-0.001112215
[0 1 0 0 1],-0.000346126
[1 1 0 0 1],1.00614693
[0 0 1 0 1],-0.000906358
[1 0 1 0 1],1.005575744
[0 1 1 0 1],1.006328898
[1 1 1 0 1],4.027706209
[0 0 0 1 1],-0.001279217
[1 0 0 1 1],1.005229343
[0 1 0 1 1],1.005991231
[1 1 0 1 1],4.027395
[0 0 1 1 1],1.005430967
[1 0 1 1 1],4.026823783
[0 0 0 0 0],4.029385877
